filename,pageNum
/Users/jillnaiman/tmpADSDownloads/pdfs/1988AJ_____96_1407K.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1977ApJ___215___74N.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1990AJ____100_1468P.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1974ApJ___190__579J.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1984ApJS___54__271C.pdf,18
/Users/jillnaiman/tmpADSDownloads/pdfs/1957ApJ___125__622O.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1994AJ____107_2006D.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___408L__53R.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1994AJ____107_1245S.pdf,36
/Users/jillnaiman/tmpADSDownloads/pdfs/1982ApJ___256__120L.pdf,10
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___456___80M.pdf,16
/Users/jillnaiman/tmpADSDownloads/pdfs/1990AJ____100_1461M.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1990ApJ___359__246B.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1981AJ_____86_1312G.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___434L__33M.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1959ApJ___130__560W.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1991ApJ___368__474A.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1984AJ_____89__365B.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___332__940R.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___411__378D.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1978AJ_____83__219R.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1945ApJ___101__370C.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1987ApJ___318__702O.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___456__662K.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1991AJ____101_1033L.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJS___53__459C.pdf,13
/Users/jillnaiman/tmpADSDownloads/pdfs/1906ApJ____24___42M.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1994AJ____108__102G.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJS___98__679L.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1976AJ_____81__638S.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1986ApJ___308__571M.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1957ApJ___126__322A.pdf,10
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJ___344__669E.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1973ApJ___183L_117F.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJ___346L__61H.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1991AJ____102_1928B.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1973ApJS___26__115S.pdf,109
/Users/jillnaiman/tmpADSDownloads/pdfs/1971ApJ___164L__73L.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___461L__83C.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___456__651G.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJS___92__163S.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1986AJ_____92__853H.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1976AJ_____81__339B.pdf,11
/Users/jillnaiman/tmpADSDownloads/pdfs/1973ApJ___183L_117F.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJ___344__669E.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1977ApJ___213____1B.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJ___346L__61H.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJS___93__309P.pdf,26
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___334__573T.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___461___72E.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___436L_123S.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___418L__71H.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1906ApJ____24___42M.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJS___93__519K.pdf,25
/Users/jillnaiman/tmpADSDownloads/pdfs/1986ApJ___305__892D.pdf,15
/Users/jillnaiman/tmpADSDownloads/pdfs/1982ApJS___49__293L.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJS___98__679L.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1992ApJ___395L__41C.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___456__662K.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJS___66__387S.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1988AJ_____95__438C.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1985AJ_____90_1676T.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1965ApJ___142__616S.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1992AJ____104_1339S.pdf,10
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___470__981K.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1978AJ_____83__219R.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___434__232R.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1968ApJ___153__975C.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1981AJ_____86_1312G.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1962ApJ___135__812E.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___326__339P.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1969ApJ___155L___1S.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___461__572S.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1984ApJ___282__178S.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___412__550Q.pdf,12
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___471__903N.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1997AJ____113_1815C.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1990AJ____100_1468P.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1990AJ_____99_1831A.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1987AJ_____93__301F.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1980ApJ___239__469A.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___271__853B.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1991ApJ___366__484B.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJ___402__514K.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1991AJ____102_2022B.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1979ApJ___229___83H.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1970ApJ___159L_143S.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1993AJ____105____1S.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1988AJ_____96_1407K.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1990AJ_____99_1831A.pdf,31
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___326__101H.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJ___336__475T.pdf,23
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJS___71__549P.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1976ApJ___204__781K.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___271__832F.pdf,11
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___449L_105S.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1996AJ____112__146Y.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1974ApJ___191__111S.pdf,16
/Users/jillnaiman/tmpADSDownloads/pdfs/1980ApJ___239__783D.pdf,19
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJ___337__355L.pdf,16
/Users/jillnaiman/tmpADSDownloads/pdfs/1981AJ_____86_1204L.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1982ApJ___261___35C.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1934ApJ____80____1B.pdf,6
/Users/jillnaiman/tmpADSDownloads/pdfs/1937ApJ____86__509H.pdf,18
/Users/jillnaiman/tmpADSDownloads/pdfs/1926ApJ____64__321H.pdf,38
/Users/jillnaiman/tmpADSDownloads/pdfs/1984AJ_____89__919S.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1987ApJS___63__265W.pdf,16
/Users/jillnaiman/tmpADSDownloads/pdfs/1983AJ_____88_1210R.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1981ApJ___245__799J.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1965ApJ___142__798D.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1985AJ_____90_1529B.pdf,18
/Users/jillnaiman/tmpADSDownloads/pdfs/1985ApJ___297__582D.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___460__744H.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___335__552T.pdf,23
/Users/jillnaiman/tmpADSDownloads/pdfs/1990ApJ___365__471J.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1992AJ____104_1311H.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1991ApJ___381__118K.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1985AJ_____90_1992S.pdf,50
/Users/jillnaiman/tmpADSDownloads/pdfs/1985AJ_____90_1529B.pdf,24
/Users/jillnaiman/tmpADSDownloads/pdfs/1932ApJ____75____1M.pdf,17
/Users/jillnaiman/tmpADSDownloads/pdfs/1991ApJ___371__142G.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1984ApJ___282L__13G.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1977ApJ___217__815S.pdf,15
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___473__921B.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1937ApJ____86__529C.pdf,15
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___448__380M.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1978ApJ___220___14H.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1987AJ_____94_1126C.pdf,22
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJS___95__457W.pdf,25
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___447L_135K.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___452__599L.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1964ApJ___139_1336T.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1985ApJ___289__129S.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1975AJ_____80__559S.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1992ApJ___389__616B.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___454__774C.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1996AJ____112_2559S.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___460__460S.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJS___70__181A.pdf,81
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___456__861W.pdf,7
/Users/jillnaiman/tmpADSDownloads/pdfs/1996AJ____112__457O.pdf,21
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___445L__77L.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1993ApJS___85___27M.pdf,40
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___424__599M.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1968ApJ___154__833M.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1957AJ_____62___69D.pdf,8
/Users/jillnaiman/tmpADSDownloads/pdfs/1986ApJ___309___33B.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1996AJ____111_2141S.pdf,38
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___453L___5R.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___265__235M.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1990ApJS___72__755B.pdf,54
/Users/jillnaiman/tmpADSDownloads/pdfs/1986ApJ___302__257C.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1970ApJ___159__799D.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1989ApJ___337__712R.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1991AJ____102__395H.pdf,26
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___333__491C.pdf,13
/Users/jillnaiman/tmpADSDownloads/pdfs/1994AJ____107_2017F.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1994ApJ___434__237M.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1977ApJ___211__693R.pdf,5
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJS__107__103P.pdf,20
/Users/jillnaiman/tmpADSDownloads/pdfs/1964ApJ___139__994W.pdf,1
/Users/jillnaiman/tmpADSDownloads/pdfs/1996ApJ___473L__67C.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1984ApJ___280____1H.pdf,4
/Users/jillnaiman/tmpADSDownloads/pdfs/1988ApJ___324__501Z.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1975ApJ___202___30B.pdf,9
/Users/jillnaiman/tmpADSDownloads/pdfs/1973ApJS___26__115S.pdf,35
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___266___82S.pdf,12
/Users/jillnaiman/tmpADSDownloads/pdfs/1988AJ_____96__588A.pdf,51
/Users/jillnaiman/tmpADSDownloads/pdfs/1990ApJ___357__353B.pdf,3
/Users/jillnaiman/tmpADSDownloads/pdfs/1995ApJ___441__334S.pdf,0
/Users/jillnaiman/tmpADSDownloads/pdfs/1982ApJ___255___87B.pdf,2
/Users/jillnaiman/tmpADSDownloads/pdfs/1983ApJ___273___24C.pdf,16
/Users/jillnaiman/tmpADSDownloads/pdfs/1992ApJ___389__527H.pdf,12
/Users/jillnaiman/tmpADSDownloads/pdfs/1978ApJ___223__671I.pdf,2
